,formula,time,result
0,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.013244564994238317,False
1,"!([](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",0.01100487110670656,False
2,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.01165666792076081,False
