,formula,time,result
0,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.013779324013739824,True
1,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.010898813023231924,False
2,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",0.01404693303629756,False
3,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.013445504941046238,False
4,"!(![](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",0.012616877909749746,True
5,"!([](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",0.01130347209982574,False
6,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",0.011684380006045103,True
7,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_2==CS""))))",0.01108441292308271,True
8,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.010791242006234825,False
