,formula,time,result
0,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",56.8264563200064,False
1,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",56.59872220188845,False
2,"!([](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",30.817478295066394,False
3,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",55.47140035999473,False
4,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",30.886754696024582,False
5,"!(![](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",54.520921717979945,False
6,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_0==CS"") && (""P_3==CS"")) || ((""P_1==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_3==CS"")) || ((""P_2==CS"") && (""P_3==CS""))))",27.240114097949117,False
7,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",26.085919396951795,False
8,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",26.99176438804716,False
