,formula,time,result
0,"!(![](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",1000,
1,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_0==CS"") && (""P_3==CS"")) || ((""P_0==CS"") && (""P_4==CS"")) || ((""P_1==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_3==CS"")) || ((""P_1==CS"") && (""P_4==CS"")) || ((""P_2==CS"") && (""P_3==CS"")) || ((""P_2==CS"") && (""P_4==CS"")) || ((""P_3==CS"") && (""P_4==CS""))))",1000,
2,"!([](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",1000,
3,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",1000,
4,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",1000,
5,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"")))",1000,
6,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"")))",1000,
7,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",1000,
