,formula,time,result
0,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",2.371375450049527,False
1,"!(![]((""P_0==q1"") -> <>(""P_0==CS"")))",4.593488439917564,False
2,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",2.278060103999451,False
3,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",5.276521891937591,True
4,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",4.935094336047769,False
5,"!([]((""P_0==q1"") -> <>(""P_0==CS"")))",2.8113664919510484,False
