,formula,time,result
0,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",1000.0,
1,"!([](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",552.6563393289689,False
2,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",507.9698664629832,True
3,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_0==CS"") && (""P_3==CS"")) || ((""P_0==CS"") && (""P_4==CS"")) || ((""P_1==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_3==CS"")) || ((""P_1==CS"") && (""P_4==CS"")) || ((""P_2==CS"") && (""P_3==CS"")) || ((""P_2==CS"") && (""P_4==CS"")) || ((""P_3==CS"") && (""P_4==CS""))))",518.124781797058,True
4,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"")))",492.267776091001,False
5,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",1000.0,
6,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",478.53475349606015,False
7,"!(![](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",1000.0,
