,formula,time,result
0,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_2==CS""))))",0.0531737309647724,True
1,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.08977471000980586,False
2,"!([](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.05019741493742913,False
3,"!(![](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.08369627001229674,False
4,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.08696496509946883,False
5,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",0.08629478700459003,False
6,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",0.04920387105084956,True
7,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.043166079092770815,False
8,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.04641449300106615,False
