,formula,time,result
0,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.01287429896183312,False
1,"!(![](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.012845990946516395,False
2,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",0.012169072986580431,False
3,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.010903990012593567,False
4,"!(![]<>((""P_0==CS"") || (""P_1==CS"")))",0.012714809970930219,False
5,"!([](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.01165635697543621,False
6,"!([]<>((""P_0==CS"") || (""P_1==CS"")))",0.010699330014176667,False
7,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",0.01286819891538471,False
8,"!([]<>((""P_0==CS"") && (""P_1==CS"")))",0.011052708956412971,False
