,formula,time,result
0,"!(![]<>((""phil_0==eat"") || (""phil_1==eat"") || (""phil_2==eat"") || (""phil_3==eat"") || (""phil_4==eat"") || (""phil_5==eat"") || (""phil_6==eat"") || (""phil_7==eat"") || (""phil_8==eat"") || (""phil_9==eat"") || (""phil_10==eat"") || (""phil_11==eat"") || (""phil_12==eat"")))",866.7504246389726,False
1,"!([]<>(""phil_0==eat""))",541.9428572640754,False
2,"!(![]<>(""phil_0==eat""))",1000.0,
3,"!(![]<>((""phil_0==one"") -> <>(""phil_0==eat"")))",668.6128507300746,False
4,"!([]<>((""phil_0==eat"") || (""phil_1==eat"") || (""phil_2==eat"") || (""phil_3==eat"") || (""phil_4==eat"") || (""phil_5==eat"") || (""phil_6==eat"") || (""phil_7==eat"") || (""phil_8==eat"") || (""phil_9==eat"") || (""phil_10==eat"") || (""phil_11==eat"") || (""phil_12==eat"")))",565.9929563220358,False
5,"!([]<>((""phil_0==one"") -> <>(""phil_0==eat"")))",542.5034169129794,False
