,formula,time,result
0,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",474.71350045199506,False
1,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",440.0915247349767,False
2,"!([](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",495.9687170899706,False
3,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_0==CS"") && (""P_3==CS"")) || ((""P_1==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_3==CS"")) || ((""P_2==CS"") && (""P_3==CS""))))",439.2819108919939,False
4,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",1000.0,
5,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",481.90392775298096,False
6,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",1000.0,
7,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",1000.0,
8,"!(![](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",1000.0,
