,formula,time,result
0,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"") || (""P_5==CS"") || (""P_6==CS"")))",6.868224915931933,False
1,"!([]((""P_0==try"") -> <>(""P_0==CS"")))",3.607194892014377,False
2,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",2.8900640610372648,False
3,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"") || (""P_5==CS"") || (""P_6==CS"")))",3.0796537020942196,False
4,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",6.53026317502372,False
5,"!(![]((""P_0==try"") -> <>(""P_0==CS"")))",6.366906728944741,False
