,formula,time,result
0,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.03455790993757546,False
1,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.036281103966757655,False
2,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.06318977999035269,False
3,"!(![]((""P_0==try"") -> <>(""P_0==CS"")))",0.05898635496851057,False
4,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.056261584046296775,False
5,"!([]((""P_0==try"") -> <>(""P_0==CS"")))",0.03786800801753998,False
