,formula,time,result
0,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",3.0429230330046266,False
1,"!(![]((""P_0==w1"") -> <>(""P_0==CS"")))",6.151961522991769,False
2,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",3.1012727569323033,False
3,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",6.809508310048841,False
4,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",6.8254755469970405,False
5,"!([]((""P_0==w1"") -> <>(""P_0==CS"")))",3.4871670400025323,False
