,formula,time,result
0,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",0.08859007409773767,False
1,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.09453758399467915,True
2,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.08733894804026932,False
3,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",0.0497904879739508,True
4,"!(![](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",0.08008929202333093,True
5,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.045539573999121785,False
6,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.04268654203042388,False
7,"!([](((""P_0==p1"") || (""P_0==p2"") || (""P_0==p3"")) -> <>(""P_0==CS"")))",0.05095421604346484,False
8,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_0==CS"") && (""P_3==CS"")) || ((""P_1==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_3==CS"")) || ((""P_2==CS"") && (""P_3==CS""))))",0.048325293930247426,True
