,formula,time,result
0,"!(![]((""P_0==w1"") -> <>(""P_0==CS"")))",752.0783421030501,False
1,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",370.4950333740562,False
2,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"")))",378.96820224798284,False
3,"!([]((""P_0==w1"") -> <>(""P_0==CS"")))",439.29364984692074,False
4,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"") || (""P_4==CS"")))",1000.0,
5,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",1000.0,
