,formula,time,result
0,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",1.2709470300469548,False
1,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",2.7727351610083133,False
2,"!([](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",1.5907349350163713,False
3,"!(![](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",2.1128274019574746,False
4,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",1.2299713480751961,False
5,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",2.931002966943197,True
