,formula,time,result
0,"!(!([]<>(""P_0==NCS"") -> []<>(""P_0==CS"")))",0.5502005770104006,False
1,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.5534670749912038,False
2,"!([](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.30512181704398245,False
3,"!([]<>(((""P_0==CS"") && (""P_1==CS"")) || ((""P_0==CS"") && (""P_2==CS"")) || ((""P_1==CS"") && (""P_2==CS""))))",0.24200248799752444,False
4,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.5671469150111079,True
5,"!(!([]<>(""P_0==CS"") -> []<>(""P_0==NCS"")))",0.2738704509101808,False
6,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.2300436340738088,False
7,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.23512025806121528,False
8,"!(![](((""P_0==q2"") || (""P_0==q3"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.48027600697241724,False
