,formula,time,result
0,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.030327605083584785,False
1,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.03130410995800048,False
2,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.053213897976092994,False
3,"!([](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",0.03637286298908293,False
4,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"") || (""P_3==CS"")))",0.054295452078804374,False
5,"!(![](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",0.05200247198808938,False
