,formula,time,result
0,"!(!<>((""P_0==elected"") || (""P_1==elected"") || (""P_2==elected"")))",0.014820015989243984,True
1,"!(<>((""P_0==elected"") || (""P_1==elected"") || (""P_2==elected"")))",0.014359057997353375,False
