,formula,time,result
0,"!([](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",0.012333126971498132,False
1,"!([](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.01048321498092264,False
2,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.011947790044359863,False
3,"!(![](((""P_0==p2"") || (""P_0==p3"") || (""P_0==p4"") || (""P_0==p5"") || (""P_0==p6"")) -> <>(""P_0==CS"")))",0.013146601966582239,False
4,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.010678315069526434,False
5,"!(![]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.012727394932880998,False
