,formula,time,result
0,"!(!<>((""P_0==elected"") || (""P_1==elected"") || (""P_2==elected"")))",0.01359338196925819,True
1,"!(<>((""P_0==elected"") || (""P_1==elected"") || (""P_2==elected"")))",0.013155844062566757,False
