,formula,time,result
0,"!([]((""req[0]==1"") -> (!(""p==0"") U ((""p==0"") U (!(""p==0"") U ((""p==0"") U ((""cabin==open"") && (""p==0""))))))))",46.59977310500108,False
1,"!(![]((""req[1]==1"") -> (!(""p==1"") U ((""p==1"") U ((""cabin==open"") && (""p==1""))))))",67.52002723899204,False
2,"!(!<>[](""p==1""))",24.47269923100248,False
3,"!(<>[](""p==1""))",28.167437670985237,False
4,"!(![]((""req[0]==1"") -> (!(""p==0"") U ((""p==0"") U (!(""p==0"") U ((""p==0"") U ((""cabin==open"") && (""p==0""))))))))",54.072750744991936,True
5,"!([]((""req[1]==1"") -> <>((""cabin==open"") && (""p==1""))))",36.333260731073096,False
