,formula,time,result
0,"!(![](!(""P_0==CS"") -> <>(""P_0==CS"")))",0.4590856919530779,False
1,"!([](((""P_0==choose"") || (""P_0==for_loop"") || (""P_0==wait"")) -> <>(""P_0==CS"")))",0.23948016099166125,False
2,"!([]<>((""P_0==CS"") || (""P_1==CS"") || (""P_2==CS"")))",0.20619307702872902,False
