Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Formulas_Reduced,Time_Per_Original_Formula,Efficiency_Score,Reduction_Category,Size_Category,Normalized_Time,Normalized_Reduction
elevator.2_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026519298553466,0.0007331371307373,0.0035631656646728,0.0008907914161682,0.0,0.0008907914161682,0.0,Zero,Tiny (≤4),0.0008907914161682,0.0
elevator.3_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026123523712158,0.0007441043853759,0.0035262107849121,0.000881552696228025,0.0,0.000881552696228025,0.0,Zero,Tiny (≤4),0.000881552696228025,0.0
elevator.4_000,521.0,1.0,0.0,1.0,521.0,271.0,47.98464491362764,4.106488943099976,11618.252643346786,11622.359471082687,22.307791691137595,250.0,22.307791691137595,0.0021510262233930986,Medium (25-50%),Very Large (100+),22.307791691137595,47.98464491362764
elevator.4_001,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0028104782104492,0.0007839202880859,0.0038175582885742,0.00095438957214355,0.0,0.00095438957214355,0.0,Zero,Tiny (≤4),0.00095438957214355,0.0
elevator.5_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.002709150314331,0.0007545948028564,0.0036461353302001,0.000911533832550025,0.0,0.000911533832550025,0.0,Zero,Tiny (≤4),0.000911533832550025,0.0
elevator2.1_000,11.0,1.0,0.0,1.0,11.0,5.0,54.54545454545454,0.0143816471099853,0.0074975490570068,0.0220727920532226,0.002006617459383873,6.0,0.002006617459383873,27.182786779002008,High (50-75%),Medium (11-50),0.002006617459383873,54.54545454545454
elevator2.2_000,11.0,1.0,0.0,1.0,11.0,5.0,54.54545454545454,0.0139808654785156,0.0075857639312744,0.0217516422271728,0.001977422020652073,6.0,0.001977422020652073,27.584124165598034,High (50-75%),Medium (11-50),0.001977422020652073,54.54545454545454
elevator2.3_000,71.0,1.0,0.0,1.0,71.0,50.0,29.577464788732392,0.2071244716644287,1.4069502353668213,1.6143956184387207,0.02273796645688339,21.0,0.02273796645688339,1.3007963946476182,Medium (25-50%),Large (51-100),0.02273796645688339,29.577464788732392
elevator2.3_001,11.0,1.0,0.0,1.0,11.0,6.0,45.45454545454545,0.0132999420166015,0.0073609352111816,0.0208477973937988,0.0018952543085271637,5.0,0.0018952543085271637,23.983348962741047,Medium (25-50%),Medium (11-50),0.0018952543085271637,45.45454545454545
exit.3_000,306.0,1.0,0.0,1.0,306.0,219.0,28.431372549019606,2.1556296348571777,222.2598602771759,224.41583061218265,0.733385067360074,87.0,0.733385067360074,0.03876731858116836,Medium (25-50%),Very Large (100+),0.733385067360074,28.431372549019606
extinction.1_000,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0004947185516357,7.915496826171875e-05,0.0007491111755371,0.0007491111755371,0.0,0.0007491111755371,0.0,Zero,Tiny (≤4),0.0007491111755371,0.0
extinction.2_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0005443096160888,0.0003359317779541,0.0010232925415039,0.00051164627075195,0.0,0.00051164627075195,0.0,Zero,Tiny (≤4),0.00051164627075195,0.0
extinction.3_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0006773471832275,0.0003635883331298,0.001239538192749,0.0006197690963745,0.0,0.0006197690963745,0.0,Zero,Tiny (≤4),0.0006197690963745,0.0
extinction.4_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0006868839263916,0.0003454685211181,0.0012116432189941,0.00060582160949705,0.0,0.00060582160949705,0.0,Zero,Tiny (≤4),0.00060582160949705,0.0
fischer.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042195320129394,0.00156831741333,0.0059657096862792,0.0009942849477132,3.0,0.0009942849477132,50.28739509231958,High (50-75%),Small (5-10),0.0009942849477132,50.0
fischer.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040593147277832,0.0017640590667724,0.0060148239135742,0.0010024706522623666,3.0,0.0010024706522623666,49.876771840811955,High (50-75%),Small (5-10),0.0010024706522623666,50.0
fischer.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040400028228759,0.0016713142395019,0.0058882236480712,0.0009813706080118666,3.0,0.0009813706080118666,50.94915171883302,High (50-75%),Small (5-10),0.0009813706080118666,50.0
fischer.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0039429664611816,0.0015962123870849,0.0057337284088134,0.0009556214014689,3.0,0.0009556214014689,52.321975965737316,High (50-75%),Small (5-10),0.0009556214014689,50.0
fischer.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0041713714599609,0.0016849040985107,0.0060391426086425,0.0010065237681070834,3.0,0.0010065237681070834,49.6759257797085,High (50-75%),Small (5-10),0.0010065237681070834,50.0
fischer.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040228366851806,0.0016469955444335,0.0058522224426269,0.0009753704071044834,3.0,0.0009753704071044834,51.26257638719186,High (50-75%),Small (5-10),0.0009753704071044834,50.0
fischer.7_000,5.0,1.0,0.0,1.0,5.0,4.0,20.0,0.0034511089324951,0.0012428760528564,0.0048723220825195,0.0009744644165039,1.0,0.0009744644165039,20.52409473478189,Low (0-25%),Small (5-10),0.0009744644165039,20.0
iprotocol.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0064985752105712,0.0041055679321289,0.01080322265625,0.001800537109375,3.0,0.001800537109375,27.769491525423728,High (50-75%),Small (5-10),0.001800537109375,50.0
iprotocol.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0061326026916503,0.0041131973266601,0.0104248523712158,0.0017374753952026332,3.0,0.0017374753952026332,28.777385934819957,High (50-75%),Small (5-10),0.0017374753952026332,50.0
iprotocol.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0061273574829101,0.0041244029998779,0.0104327201843261,0.0017387866973876834,3.0,0.0017387866973876834,28.75568353215432,High (50-75%),Small (5-10),0.0017387866973876834,50.0
iprotocol.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.005688190460205,0.0043733119964599,0.0102550983428955,0.00170918305714925,3.0,0.00170918305714925,29.253741891986166,High (50-75%),Small (5-10),0.00170918305714925,50.0
iprotocol.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0056240558624267,0.0041754245758056,0.0099780559539794,0.0016630093256632334,3.0,0.0016630093256632334,30.065976918114536,High (50-75%),Small (5-10),0.0016630093256632334,50.0
iprotocol.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.00559663772583,0.0040876865386962,0.0098702907562255,0.0016450484593709166,3.0,0.0016450484593709166,30.39424140679753,High (50-75%),Small (5-10),0.0016450484593709166,50.0
iprotocol.7_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0055751800537109,0.0040972232818603,0.0098633766174316,0.0016438961029052667,3.0,0.0016438961029052667,30.415547498187216,High (50-75%),Small (5-10),0.0016438961029052667,50.0
lamport.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042104721069335,0.001603364944458,0.0059878826141357,0.0009979804356892834,3.0,0.0009979804356892834,50.10118256022332,High (50-75%),Small (5-10),0.0009979804356892834,50.0
lamport.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042927265167236,0.0016272068023681,0.0061144828796386,0.0010190804799397666,3.0,0.0010190804799397666,49.063838415348,High (50-75%),Small (5-10),0.0010190804799397666,50.0
lamport.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.004256248474121,0.0015897750854492,0.0060319900512695,0.0010053316752115834,3.0,0.0010053316752115834,49.73483003952594,High (50-75%),Small (5-10),0.0010053316752115834,50.0
lamport.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0039653778076171,0.0017085075378417,0.0058727264404296,0.0009787877400716,3.0,0.0009787877400716,51.083598570965364,High (50-75%),Small (5-10),0.0009787877400716,50.0
lamport.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.003981590270996,0.0017347335815429,0.0058929920196533,0.0009821653366088835,3.0,0.0009821653366088835,50.90792571914084,High (50-75%),Small (5-10),0.0009821653366088835,50.0
lamport.7_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040774345397949,0.0018894672393798,0.0061643123626708,0.0010273853937784667,3.0,0.0010273853937784667,48.66722877586618,High (50-75%),Small (5-10),0.0010273853937784667,50.0
lamport.8_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040879249572753,0.0018768310546875,0.0061488151550292,0.0010248025258382,3.0,0.0010248025258382,48.78988755331601,High (50-75%),Small (5-10),0.0010248025258382,50.0
lamport_nonatomic.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0041468143463134,0.0015656948089599,0.0058932304382324,0.0009822050730387334,3.0,0.0009822050730387334,50.90586617040232,High (50-75%),Small (5-10),0.0009822050730387334,50.0
lamport_nonatomic.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042457580566406,0.0016076564788818,0.0060346126556396,0.0010057687759399334,3.0,0.0010057687759399334,49.71321559796176,High (50-75%),Small (5-10),0.0010057687759399334,50.0
lamport_nonatomic.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042202472686767,0.0016026496887207,0.0060031414031982,0.0010005235671996999,3.0,0.0010005235671996999,49.97383533897331,High (50-75%),Small (5-10),0.0010005235671996999,50.0
lamport_nonatomic.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0038046836853027,0.0016956329345703,0.0056967735290527,0.0009494622548421166,3.0,0.0009494622548421166,52.66138779609977,High (50-75%),Small (5-10),0.0009494622548421166,50.0
lamport_nonatomic.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040769577026367,0.0018975734710693,0.0061519145965576,0.0010253190994262667,3.0,0.0010253190994262667,48.76530635972575,High (50-75%),Small (5-10),0.0010253190994262667,50.0
lann.1_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0029463768005371,0.0009040832519531,0.0040266513824462,0.00100666284561155,2.0,0.00100666284561155,49.66906270353595,High (50-75%),Tiny (≤4),0.00100666284561155,50.0
lann.2_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024774074554443,0.0008981227874755,0.0035521984100341,0.000888049602508525,2.0,0.000888049602508525,56.30316128599362,High (50-75%),Tiny (≤4),0.000888049602508525,50.0
lann.3_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024607181549072,0.0009183883666992,0.0035607814788818,0.00089019536972045,2.0,0.00089019536972045,56.167445597590124,High (50-75%),Tiny (≤4),0.00089019536972045,50.0
lann.4_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0026078224182128,0.0009984970092773,0.0037827491760253,0.000945687294006325,2.0,0.000945687294006325,52.87159964704526,High (50-75%),Tiny (≤4),0.000945687294006325,50.0
lann.5_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024588108062744,0.0008478164672851,0.003488540649414,0.0008721351623535,2.0,0.0008721351623535,57.33056314926292,High (50-75%),Tiny (≤4),0.0008721351623535,50.0
lann.6_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.002526044845581,0.000931978225708,0.0036396980285644,0.0009099245071411,2.0,0.0009099245071411,54.949613520241854,High (50-75%),Tiny (≤4),0.0009099245071411,50.0
lann.7_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0026605129241943,0.0010755062103271,0.0039153099060058,0.00097882747650145,2.0,0.00097882747650145,51.08152478382735,High (50-75%),Tiny (≤4),0.00097882747650145,50.0
