Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Time_Per_Formula_Safe,Problem_Score,Formula_Savings,Efficiency_Score,Class_Utilization
iprotocol.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.00559663772583,0.0040876865386962,0.0098702907562255,0.0016450484593709166,0.0016450484593709166,0.18183365982410268,3.0,30394.24140679753,100.0
iprotocol.7_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0055751800537109,0.0040972232818603,0.0098633766174316,0.0016438961029052667,0.0016438961029052667,0.18183364414813868,3.0,30415.547498187218,100.0
lamport.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042104721069335,0.001603364944458,0.0059878826141357,0.0009979804356892834,0.0009979804356892834,0.18182485750005395,3.0,50101.18256022333,100.0
lamport.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042927265167236,0.0016272068023681,0.0061144828796386,0.0010190804799397666,0.0010190804799397666,0.18182514453235984,3.0,49063.838415348,100.0
lamport.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.004256248474121,0.0015897750854492,0.0060319900512695,0.0010053316752115834,0.0010053316752115834,0.18182495750189312,3.0,49734.83003952594,100.0
lamport.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0039653778076171,0.0017085075378417,0.0058727264404296,0.0009787877400716,0.0009787877400716,0.18182459641417115,3.0,51083.59857096536,100.0
lamport.6_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.003981590270996,0.0017347335815429,0.0058929920196533,0.0009821653366088835,0.0009821653366088835,0.1818246423609621,3.0,50907.92571914084,100.0
lamport.7_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040774345397949,0.0018894672393798,0.0061643123626708,0.0010273853937784667,0.0010273853937784667,0.1818252575074106,3.0,48667.22877586618,100.0
lamport.8_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040879249572753,0.0018768310546875,0.0061488151550292,0.0010248025258382,0.0010248025258382,0.18182522237162926,3.0,48789.887553316,100.0
lamport_nonatomic.1_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0041468143463134,0.0015656948089599,0.0058932304382324,0.0009822050730387334,0.0009822050730387334,0.18182464290151257,3.0,50905.866170402325,100.0
lamport_nonatomic.2_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042457580566406,0.0016076564788818,0.0060346126556396,0.0010057687759399334,0.0010057687759399334,0.1818249634479484,3.0,49713.21559796176,100.0
lamport_nonatomic.3_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0042202472686767,0.0016026496887207,0.0060031414031982,0.0010005235671996999,0.0010005235671996999,0.18182489209528477,3.0,49973.83533897331,100.0
lamport_nonatomic.4_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0038046836853027,0.0016956329345703,0.0056967735290527,0.0009494622548421166,0.0009494622548421166,0.18182419748791542,3.0,52661.38779609976,100.0
lamport_nonatomic.5_000,6.0,1.0,0.0,1.0,6.0,3.0,50.0,0.0040769577026367,0.0018975734710693,0.0061519145965576,0.0010253190994262667,0.0010253190994262667,0.18182522939878557,3.0,48765.30635972575,100.0
lann.1_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0029463768005371,0.0009040832519531,0.0040266513824462,0.00100666284561155,0.00100666284561155,0.18182492364173458,2.0,49669.06270353595,100.0
lann.2_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024774074554443,0.0008981227874755,0.0035521984100341,0.000888049602508525,0.000888049602508525,0.18182331622191095,2.0,56303.161285993614,100.0
lann.3_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024607181549072,0.0009183883666992,0.0035607814788818,0.00089019536972045,0.00089019536972045,0.18182334530086255,2.0,56167.44559759012,100.0
lann.4_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0026078224182128,0.0009984970092773,0.0037827491760253,0.000945687294006325,0.000945687294006325,0.18182409731486043,2.0,52871.59964704526,100.0
lann.5_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0024588108062744,0.0008478164672851,0.003488540649414,0.0008721351623535,0.0008721351623535,0.18182310055302006,2.0,57330.56314926292,100.0
lann.6_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.002526044845581,0.000931978225708,0.0036396980285644,0.0009099245071411,0.0009099245071411,0.18182361266566738,2.0,54949.61352024186,100.0
lann.7_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0026605129241943,0.0010755062103271,0.0039153099060058,0.00097882747650145,0.00097882747650145,0.18182454642311266,2.0,51081.52478382734,100.0
