Metric,Value
Total Benchmarks,5
Total Properties,180
Total Runtime,3489.6612712676874
Average Runtime per Benchmark,697.9322542535375
Median Runtime per Benchmark,1.7035180709790438
Average Properties per Benchmark,36.0
Total Timeouts,0
Benchmarks with Timeouts,0
Overall Timeout Rate,0.0
Fastest Benchmark,anderson.2_000
Slowest Benchmark,adding.4_000
Most Properties,adding.4_000
Fewest Properties,anderson.1_000
