Benchmark,Num Properties_baseline,Total Elapsed Time (seconds)_baseline,Average Elapsed Time (seconds)_baseline,Timeouts_baseline,Num Properties_optimized,Total Elapsed Time (seconds)_optimized,Average Elapsed Time (seconds)_optimized,Timeouts_optimized,Total_Time,Reduction_Percentage,Verification_Savings_Seconds,Verification_Savings_Percentage,Overhead_Percentage,Total_Optimized_Time,NEG
adding.4_000,413,4349.0559700030135,10.530401864414076,0,168,2114.219576487784,12.584640336236806,0,33.70548391342163,59.32203389830508,2234.8363935152297,51.38670113536573,0.775006901403439,2147.9250604012054,2.0247708126235393
anderson.1_000,9,5.340883372933604,0.5934314858815115,0,3,1.7035180709790438,0.5678393569930146,0,0.0081186294555664,66.66666666666666,3.63736530195456,68.10418891354021,0.15200911326223276,1.7116367004346102,3.120337026880455
anderson.2_000,9,0.1096509599592536,0.0121834399954726,0,3,0.0371333339717239,0.0123777779905746,0,0.0086350440979003,66.66666666666666,0.0725176259875297,66.13496682060725,7.875028272537779,0.0457683780696242,2.3957798939794053
anderson.3_000,9,4716.627496597939,524.0697218442155,1,3,1373.508956292062,457.8363187640207,0,0.0086052417755126,66.66666666666666,3343.118540305877,70.87942693624287,0.00018244480365938338,1373.5175615338376,3.4339768406970905
anderson.4_000,9,0.5878520121332258,0.065316890237025,0,3,0.1920870828907936,0.0640290276302645,0,0.008446455001831,66.66666666666666,0.39576492924243223,67.3239048389511,1.4368335614230687,0.2005335378926246,2.931439889361501
anderson.5_000,8,8000.0,1000.0,8,5,5000.0,1000.0,5,0.0084118843078613,37.5,3000.0,37.5,0.00010514855384826626,5000.008411884308,1.5999973082015502
anderson.6_000,9,835.1959513761103,92.79955015290116,0,3,246.79535560996737,82.26511853665579,0,0.0082337856292724,66.66666666666666,588.4005957661429,70.45060441165512,0.0009858507594183144,246.80358939559665,3.384051072439595
anderson.7_000,7,7000.0,1000.0,7,4,4000.0,1000.0,4,0.0058863162994384,42.85714285714285,3000.0,42.857142857142854,8.409023284912001e-05,4000.0058863162994,1.7499974247404086
anderson.8_000,4,4000.0,1000.0,4,3,3000.0,1000.0,3,0.0036449432373046,25.0,1000.0,25.0,9.1123580932615e-05,3000.0036449432373,1.3333317133605294
at.1_000,6,0.5588037350680679,0.0931339558446779,0,3,0.2829302399186417,0.0943100799728805,0,0.0034646987915039,50.0,0.2758734951494262,49.36858468131428,0.6200206931476335,0.2863949387101456,1.9511648410575497
